date,server_ip,server_ASNumber,mlab_server_City,client_ip,MeanThroughputMbps,MinRTT,cc,TestTime
2023-01-17,193.201.166.139,203348,Athens,37.210.42.188,25.753365571948962,-1,Unknown,2023-01-17 21:18:39.123275 UTC
2023-05-12,77.67.119.101,3257,Stockholm,80.76.172.104,46.767096982638769,-1,Unknown,2023-05-12 14:23:26.375441 UTC
2023-02-05,77.67.119.152,3257,Paris,54.38.214.17,0.5816654064727379,-1,Unknown,2023-02-05 23:51:54.673334 UTC
2023-03-09,80.239.170.229,1299,London,78.100.178.191,10.295621079480131,-1,Unknown,2023-03-09 15:01:48.168066 UTC
2023-05-24,209.170.79.24,1299,Sofia,176.202.60.243,5.1561559282313754,-1,Unknown,2023-05-24 08:33:26.404478 UTC
2023-05-08,77.67.119.101,3257,Stockholm,80.76.172.104,48.512776707692311,-1,Unknown,2023-05-08 15:34:27.943251 UTC
2023-01-09,2600:1901:8160:9036::,396982,Tel Aviv,2a09:bac1:5f80::20a:45,0.39612283586433772,-1,Unknown,2023-01-09 18:11:17.39185 UTC
2023-05-07,193.201.166.139,203348,Athens,37.186.33.213,1.8851674085621917,-1,Unknown,2023-05-07 23:21:04.858872 UTC
2023-01-29,209.170.79.11,1299,Sofia,37.208.153.181,12.731982972770156,-1,Unknown,2023-01-29 03:42:15.874032 UTC
2023-05-31,212.221.42.152,3257,Sofia,78.101.173.223,55.985494671071528,-1,Unknown,2023-05-31 17:39:26.189535 UTC
2023-02-12,209.170.79.37,1299,Sofia,37.186.44.45,78.242791865665524,-1,Unknown,2023-02-12 10:06:30.050347 UTC
2023-01-10,162.213.97.229,6762,Frankfurt,176.202.188.138,28.298098410521416,-1,Unknown,2023-01-10 16:34:10.25126 UTC
2023-02-05,193.201.166.165,203348,Athens,212.70.101.165,2.4653011228542159,-1,Unknown,2023-02-05 09:46:15.50459 UTC
2023-02-01,209.170.79.37,1299,Sofia,212.70.117.36,6.4765045280436331,-1,Unknown,2023-02-01 02:13:41.825144 UTC
2023-05-03,4.71.210.216,3356,Miami,212.70.109.239,11.862954905284834,-1,Unknown,2023-05-03 14:46:21.507516 UTC
2023-03-10,62.115.225.165,1299,Stockholm,37.211.254.43,12.617381296774379,-1,Unknown,2023-03-10 05:04:57.97252 UTC
2023-01-21,80.239.170.203,1299,London,37.210.132.29,30.991862692969651,-1,Unknown,2023-01-21 07:43:36.635073 UTC
2023-02-07,77.67.114.203,3257,London,178.152.30.82,35.70918571504518,-1,Unknown,2023-02-07 13:28:06.937879 UTC
2023-02-22,193.201.166.139,203348,Athens,89.211.213.248,22.9479662879405,-1,Unknown,2023-02-22 16:09:48.94257 UTC
2023-05-16,193.201.166.152,203348,Athens,78.100.244.222,13.249881221309641,-1,Unknown,2023-05-16 16:06:44.773715 UTC
2023-05-12,77.67.119.101,3257,Stockholm,80.76.172.104,54.544373766800973,-1,Unknown,2023-05-12 10:43:45.589744 UTC
2023-01-26,193.201.166.139,203348,Athens,176.202.186.145,2.2498298786436584,-1,Unknown,2023-01-26 04:49:49.635443 UTC
2023-02-05,195.89.147.216,1273,Paris,54.38.214.17,0.38389841630995447,-1,Unknown,2023-02-05 23:51:09.852137 UTC
2023-01-12,193.201.166.152,203348,Athens,89.211.132.38,33.574210039386294,-1,Unknown,2023-01-12 00:10:26.223518 UTC
2023-02-05,80.239.222.88,1299,Paris,54.38.214.17,0.44938989908662835,-1,Unknown,2023-02-05 23:54:14.799467 UTC
2023-01-21,80.239.170.203,1299,London,37.210.132.29,28.370210116604497,-1,Unknown,2023-01-21 07:43:36.629473 UTC
2023-02-25,193.201.166.152,203348,Athens,37.208.171.48,53.1717014323797,-1,Unknown,2023-02-25 02:07:50.81483 UTC
2023-05-03,162.213.96.152,6762,Amsterdam,104.28.234.55,30.108523253823645,-1,Unknown,2023-05-03 16:03:18.186871 UTC
2023-01-10,173.205.4.11,3257,Washington,78.101.128.122,12.265363221352057,-1,Unknown,2023-01-10 15:55:25.90128 UTC
2023-05-08,4.71.210.229,3356,Miami,212.70.109.239,18.675435047499491,-1,Unknown,2023-05-08 04:41:59.643738 UTC
2023-02-07,209.170.79.11,1299,Sofia,37.186.36.179,28.443651181371614,-1,Unknown,2023-02-07 14:55:43.087005 UTC
2023-01-11,173.205.4.24,3257,Washington,78.101.128.122,13.851610748162209,-1,Unknown,2023-01-11 17:36:03.240795 UTC
2023-01-04,209.170.79.37,1299,Sofia,37.186.39.211,12.511941627630446,-1,Unknown,2023-01-04 23:04:21.600189 UTC
2023-03-29,193.1.12.203,1213,Dublin,37.210.204.124,0.73143576544617139,-1,Unknown,2023-03-29 17:38:17.456496 UTC
2023-01-31,197.136.0.101,36914,Nairobi,37.210.106.1,2.3418288902924553,-1,Unknown,2023-01-31 23:05:35.75373 UTC
2023-05-18,193.201.166.152,203348,Athens,78.101.69.74,12.072841017165812,-1,Unknown,2023-05-18 08:46:34.760021 UTC
2023-01-30,2600:1901:8160:9036::,396982,Tel Aviv,2a09:bac1:5f80::10:10e,0.33774302915831211,-1,Unknown,2023-01-30 18:16:47.706769 UTC
2023-01-24,193.201.166.165,203348,Athens,37.211.13.115,7.0064213129738944,-1,Unknown,2023-01-24 15:38:21.517151 UTC
2023-05-11,77.67.119.101,3257,Stockholm,80.76.172.104,51.330153488486289,-1,Unknown,2023-05-11 11:22:46.197682 UTC
2023-02-28,193.201.166.152,203348,Athens,37.210.131.215,2.0686306210101173,-1,Unknown,2023-02-28 16:10:29.389715 UTC
2023-01-03,193.201.166.152,203348,Athens,89.211.225.19,23.965299219016405,-1,Unknown,2023-01-03 11:17:56.533604 UTC
2023-02-18,209.170.79.37,1299,Sofia,78.101.159.85,58.347470870691524,-1,Unknown,2023-02-18 10:33:20.433594 UTC
2023-01-21,80.239.170.203,1299,London,37.210.132.29,31.3685613606231,-1,Unknown,2023-01-21 07:43:36.629173 UTC
2023-05-13,77.67.119.101,3257,Stockholm,80.76.172.104,54.703461897550881,-1,Unknown,2023-05-13 19:17:11.797064 UTC
2023-02-01,193.201.166.139,203348,Athens,178.153.61.85,16.181459353441333,-1,Unknown,2023-02-01 21:00:51.080699 UTC
2023-04-11,209.170.79.37,1299,Sofia,37.210.194.25,34.7216562531642,-1,Unknown,2023-04-11 06:41:41.640849 UTC
2023-04-02,193.201.166.152,203348,Athens,86.62.196.7,2.0910573515748,-1,Unknown,2023-04-02 20:30:31.747813 UTC
2023-02-02,193.201.166.139,203348,Athens,178.153.223.39,31.982986602577384,-1,Unknown,2023-02-02 17:29:55.907599 UTC
2023-05-07,77.67.119.101,3257,Stockholm,80.76.172.104,47.510577770875585,-1,Unknown,2023-05-07 11:37:25.888717 UTC
2023-04-28,103.43.213.165,63927,Manila,78.101.90.83,22.288149476321035,-1,Unknown,2023-04-28 11:18:30.171682 UTC
2023-05-09,77.67.119.101,3257,Stockholm,80.76.172.104,55.041398659083683,-1,Unknown,2023-05-09 10:56:59.719776 UTC
2023-05-15,77.67.119.101,3257,Stockholm,80.76.172.104,63.460174282159741,-1,Unknown,2023-05-15 09:50:31.828444 UTC
2023-05-10,77.67.119.101,3257,Stockholm,80.76.172.104,68.403269762580791,-1,Unknown,2023-05-10 14:03:13.154953 UTC
2023-02-02,193.201.166.165,203348,Athens,37.210.51.37,4.0144324326882046,-1,Unknown,2023-02-02 17:36:17.072158 UTC
2023-04-07,193.201.166.152,203348,Athens,176.202.94.164,27.135276132110118,-1,Unknown,2023-04-07 08:50:41.781097 UTC
2023-05-13,193.201.166.152,203348,Athens,78.100.244.222,13.533896128357423,-1,Unknown,2023-05-13 16:41:45.698259 UTC
2023-01-09,2600:1901:8160:9036::,396982,Tel Aviv,2a09:bac1:5f80::17a:15,10.83328575716199,-1,Unknown,2023-01-09 18:20:01.840201 UTC
2023-01-30,209.170.79.24,1299,Sofia,37.208.182.5,55.119888493389773,-1,Unknown,2023-01-30 02:07:17.959775 UTC
2023-04-06,197.136.0.88,36914,Nairobi,212.70.109.48,28.730424961331462,-1,Unknown,2023-04-06 18:17:42.426722 UTC
2023-01-25,209.170.79.11,1299,Sofia,212.70.111.161,41.336190058416989,-1,Unknown,2023-01-25 08:49:41.886128 UTC
2023-05-16,77.67.119.101,3257,Stockholm,80.76.172.104,51.027739180688584,-1,Unknown,2023-05-16 11:31:26.640826 UTC
2023-02-11,209.170.79.11,1299,Sofia,176.202.186.209,11.118457868329219,-1,Unknown,2023-02-11 01:26:30.291132 UTC
2023-01-27,193.201.166.139,203348,Athens,37.208.182.5,49.71816192255551,-1,Unknown,2023-01-27 02:12:13.359236 UTC
2023-02-02,193.201.166.165,203348,Athens,37.186.52.207,90.065269317850138,-1,Unknown,2023-02-02 21:11:26.427124 UTC
2023-05-17,77.67.119.101,3257,Stockholm,80.76.172.104,48.866706213368253,-1,Unknown,2023-05-17 13:35:25.217074 UTC
2023-05-05,77.67.119.101,3257,Stockholm,80.76.172.104,32.717487225687975,-1,Unknown,2023-05-05 11:48:36.637911 UTC
2023-02-03,193.201.166.139,203348,Athens,37.186.51.158,52.441526356068863,-1,Unknown,2023-02-03 18:11:26.538834 UTC
2023-01-26,193.201.166.165,203348,Athens,37.210.251.203,10.23376308544835,-1,Unknown,2023-01-26 22:47:52.222277 UTC
2023-03-17,193.201.166.139,203348,Athens,212.70.119.208,4.2933532685966975,-1,Unknown,2023-03-17 10:33:53.997902 UTC
2023-01-21,80.239.170.203,1299,London,37.210.132.29,24.678182624465887,-1,Unknown,2023-01-21 07:43:36.630715 UTC
2023-05-09,193.201.166.139,203348,Athens,37.210.45.188,29.0282549680552,-1,Unknown,2023-05-09 13:21:54.467457 UTC
2023-02-05,77.67.119.165,3257,Paris,54.38.215.124,37.272881732171037,131.584,Unknown,2023-02-05 23:05:37.445218 UTC
2023-02-05,10.16.0.2,396982,New Delhi,37.186.50.178,21.914138662161665,55.811,Unknown,2023-02-05 16:13:59.938626 UTC
2023-02-05,193.201.166.165,203348,Athens,78.101.34.74,30.56777398056505,182.728,Unknown,2023-02-05 13:31:12.51101 UTC
2023-02-05,162.213.100.37,6453,Paris,54.38.220.123,207.88053556127548,9.479,Unknown,2023-02-05 19:56:36.751006 UTC
2023-02-05,2600:1901:8160:9036::,396982,Tel Aviv,2a09:bac1:5fa0::10:462,56.479061532341724,126.617,Unknown,2023-02-05 08:25:45.619799 UTC
2023-03-26,195.89.147.101,1273,Prague,128.90.62.161,0.28082904621607069,140.852,Unknown,2023-03-26 11:41:15.294405 UTC
2023-03-26,10.16.0.2,396982,New Delhi,178.152.110.52,22.828879359957906,204.779,Unknown,2023-03-26 21:06:20.718998 UTC
2023-03-26,195.89.147.229,1273,Paris,54.38.215.208,94.340400612955335,8.452,Unknown,2023-03-26 06:15:28.18555 UTC
2023-03-26,80.239.156.165,1299,Prague,128.90.62.118,144.00286709047714,95.28,Unknown,2023-03-26 00:42:34.47567 UTC
2023-03-26,80.239.170.216,1299,London,54.38.215.10,12.061716317456661,159.615,Unknown,2023-03-26 11:32:04.043754 UTC
2023-01-04,209.170.119.139,1299,Dallas,78.101.198.153,74.98144353731783,227.013,Unknown,2023-01-04 18:14:06.314135 UTC
2023-02-25,2600:1901:8160:9036::,396982,Tel Aviv,2a09:bac1:5fc0::272:80,0.46183299305912612,130.809,Unknown,2023-02-25 14:23:39.396487 UTC
2023-02-25,66.110.73.24,6453,Miami,37.210.228.153,0.075144823669339583,274.385,Unknown,2023-02-25 12:58:39.700618 UTC
2023-04-13,212.113.31.11,3356,London,54.38.215.7,2.3946984348847127,7.909,Unknown,2023-04-13 01:07:45.708554 UTC
2023-04-13,10.16.0.2,396982,New Delhi,89.211.96.255,37.678560568156662,155.931,Unknown,2023-04-13 19:16:33.098878 UTC
2023-05-20,64.86.148.152,6453,New York,128.90.62.110,3.3098742097673206,199.869,Unknown,2023-05-20 08:00:27.093327 UTC
2023-03-12,77.67.119.165,3257,Paris,54.38.215.166,0.070540909029549528,182.076,Unknown,2023-03-12 04:58:16.257661 UTC
2023-03-12,193.1.12.216,1213,Dublin,82.196.42.209,33.912623267258759,253.676,Unknown,2023-03-12 01:43:56.978188 UTC
2023-02-11,10.16.0.2,396982,New Delhi,37.186.39.2,64.514360108355689,92.613,Unknown,2023-02-11 14:29:34.670633 UTC
2023-03-12,162.213.100.37,6453,Paris,54.38.215.166,0.27021650833157768,192.427,Unknown,2023-03-12 04:59:08.609219 UTC
2023-02-11,209.170.79.11,1299,Sofia,178.152.236.68,7.4697863376196212,167.709,Unknown,2023-02-11 20:03:37.002778 UTC
2023-05-09,10.16.0.2,396982,New Delhi,176.202.182.222,48.712364218830658,153.956,Unknown,2023-05-09 12:13:39.665119 UTC
2023-04-28,80.239.170.216,1299,London,178.152.103.249,29.511462132806802,124.513,Unknown,2023-04-28 17:50:18.534818 UTC
2023-04-28,10.16.0.2,396982,New Delhi,176.203.159.209,21.714420456455674,211.792,Unknown,2023-04-28 14:37:22.596921 UTC
2023-03-07,10.16.0.2,396982,New Delhi,37.211.207.65,11.845711797300872,227.156,Unknown,2023-03-07 03:37:22.842478 UTC
2023-03-07,2600:1900:40a0:f2f2::,396982,Mumbai,2a09:bac2:5036:1e1::30:62,38.662674938493744,186.661,Unknown,2023-03-07 07:13:22.222612 UTC
2023-03-07,64.86.148.165,6453,New York,37.211.207.65,10.936897066360011,350.773,Unknown,2023-03-07 03:29:42.880284 UTC
2023-03-07,193.1.12.216,1213,Dublin,54.38.216.255,280.51388496112213,23.911,Unknown,2023-03-07 15:01:18.893376 UTC
2023-03-07,193.1.12.203,1213,Dublin,82.196.42.208,3.9528987981716042,168.262,Unknown,2023-03-07 21:40:15.284021 UTC
2023-03-07,193.201.166.139,203348,Athens,37.210.207.138,0.44863688640990057,166.49,Unknown,2023-03-07 15:11:52.119994 UTC
2023-04-08,193.201.166.139,203348,Athens,78.100.243.212,4.1747960667225286,171.449,Unknown,2023-04-08 18:58:48.117124 UTC
2023-04-08,10.16.0.2,396982,New Delhi,37.208.188.237,12.63313928423192,163.97,Unknown,2023-04-08 12:05:45.797304 UTC
2023-01-10,80.239.170.203,1299,London,54.38.209.130,753.67713865056,0.658,Unknown,2023-01-10 02:19:50.669258 UTC
2023-01-19,193.201.166.165,203348,Athens,37.210.112.8,31.10352609511985,317.876,Unknown,2023-01-19 03:40:20.089299 UTC
2023-01-19,197.136.0.88,36914,Nairobi,37.210.75.69,12.986261767749742,273.985,Unknown,2023-01-19 14:02:23.538276 UTC
2023-01-19,80.239.222.88,1299,Paris,54.38.214.118,2.1528779309296575,7.898,Unknown,2023-01-19 16:52:52.061173 UTC
2023-01-19,162.213.96.152,6762,Amsterdam,37.186.58.107,45.426514612957938,95.874,Unknown,2023-01-19 15:34:58.48573 UTC
2023-01-30,193.201.166.165,203348,Athens,176.203.11.168,41.315000189989739,322.198,Unknown,2023-01-30 23:05:34.576184 UTC
2023-01-30,180.87.97.101,6453,Singapore,37.211.25.187,3.6870411276606658,169.296,Unknown,2023-01-30 07:57:45.632276 UTC
2023-02-06,193.201.166.165,203348,Athens,37.211.12.138,22.109554241363824,313.866,Unknown,2023-02-06 05:49:19.528218 UTC
2023-02-06,193.201.166.165,203348,Athens,37.211.63.165,23.802046006190036,320,Unknown,2023-02-06 18:44:19.456109 UTC
2023-03-27,10.16.0.2,396982,New Delhi,37.210.174.10,44.134145314272729,206.373,Unknown,2023-03-27 11:34:49.234282 UTC
2023-03-27,10.16.0.2,396982,New Delhi,37.210.161.105,2.4588266023745131,217.334,Unknown,2023-03-27 02:04:41.096539 UTC
2023-02-04,10.16.0.2,396982,New Delhi,89.211.234.91,7.9195983157792353,156.606,Unknown,2023-02-04 16:59:36.501902 UTC
2023-02-04,162.213.100.11,6453,Paris,54.38.215.68,0.225258588175158,8.036,Unknown,2023-02-04 08:45:27.95989 UTC
