date,server_ip,server_ASNumber,mlab_server_City,client_ip,MeanThroughputMbps,MinRTT,cc,TestTime
2023-02-14,10.24.0.2,396982,Mumbai,62.215.94.205,91.691329155715025,0.047568,cubic,2023-02-14 06:43:43.605457 UTC
2023-02-21,213.149.127.24,8585,Podgorica,37.38.113.217,26.030331793133058,0.12540600000000002,cubic,2023-02-21 08:13:23.809879 UTC
2023-02-15,2001:2030:0:3::37,1299,Sofia,2a00:1851:18:397a:31ec:c593:d05e:cdb4,25.759728702657053,0.24615399999999998,cubic,2023-02-15 00:42:39.721106 UTC
2023-02-08,10.24.0.3,396982,Mumbai,188.70.47.73,2.3379164336072789,0.058882,cubic,2023-02-08 13:57:27.984735 UTC
2023-01-28,10.24.0.3,396982,Mumbai,83.96.25.130,111.90296643027864,0.046026000000000004,cubic,2023-01-28 19:56:04.35743 UTC
2023-02-04,115.113.240.216,4755,New Delhi,83.96.25.130,78.02717137361067,0.225709,cubic,2023-02-04 06:03:35.448444 UTC
2023-02-14,2001:2030:0:3::11,1299,Sofia,2a00:1851:18:397a:31ec:c593:d05e:cdb4,24.546397135151867,0.235977,cubic,2023-02-14 23:25:42.409618 UTC
2023-02-17,188.120.127.37,13004,Belgrade,37.39.226.125,8.1641684353464132,0.137738,cubic,2023-02-17 15:33:52.058186 UTC
2023-01-07,10.24.0.2,396982,Mumbai,188.71.245.225,76.103592805583858,0.056106,cubic,2023-01-07 01:39:26.125271 UTC
2023-01-26,10.24.0.3,396982,Mumbai,188.71.253.153,10.743569530503432,0.059024,cubic,2023-01-26 16:25:09.487277 UTC
2023-01-28,10.24.0.2,396982,Mumbai,188.70.22.38,1.0304428513765627,0.059823,cubic,2023-01-28 11:05:24.706075 UTC
2023-02-20,188.120.127.11,13004,Belgrade,94.129.158.223,4.1913891467516686,0.152965,cubic,2023-02-20 03:38:03.078057 UTC
2023-02-15,2001:2030:0:3::37,1299,Sofia,2a00:1851:8:73a:94a1:7d4e:1824:504f,0.602292544803562,0.232089,cubic,2023-02-15 16:33:46.931683 UTC
2023-02-14,10.24.0.4,396982,Mumbai,188.236.161.186,107.28217017426387,0.052797,cubic,2023-02-14 14:43:12.395601 UTC
2023-05-23,115.113.240.216,4755,New Delhi,37.38.237.235,54.43614794790183,0.21896700000000002,cubic,2023-05-23 17:07:44.707265 UTC
2023-02-12,10.24.0.3,396982,Mumbai,83.96.25.130,204.48918362940955,0.051927,cubic,2023-02-12 06:25:58.711099 UTC
2023-05-07,213.149.127.24,8585,Podgorica,62.215.94.205,81.672834199272017,0.120747,cubic,2023-05-07 06:11:00.102325 UTC
2023-02-06,10.24.0.4,396982,Mumbai,37.231.161.206,27.680196606688877,0.063431,cubic,2023-02-06 21:18:52.563001 UTC
2023-04-30,213.149.127.24,8585,Podgorica,188.70.41.36,130.15167018539864,0.138687,cubic,2023-04-30 00:26:48.300697 UTC
2023-03-09,188.120.127.11,13004,Belgrade,188.236.244.146,0.044222979498165969,1.222266,cubic,2023-03-09 19:41:36.071166 UTC
2023-04-13,213.149.127.11,8585,Podgorica,37.39.164.215,17.058009081452862,0.123185,cubic,2023-04-13 21:38:34.258873 UTC
2023-01-15,10.24.0.4,396982,Mumbai,188.236.204.91,39.284393444344524,0.06148,cubic,2023-01-15 18:29:24.632595 UTC
2023-02-23,188.120.127.24,13004,Belgrade,188.236.167.11,85.652677179342689,0.11427200000000001,cubic,2023-02-23 13:02:39.924476 UTC
2023-02-12,14.143.58.139,4755,Mumbai,37.39.185.207,0.9813957422369497,0.192425,cubic,2023-02-12 11:39:07.976121 UTC
2023-01-02,115.113.240.229,4755,New Delhi,178.53.200.21,80.904929499857019,0.227713,cubic,2023-01-02 08:06:55.152646 UTC
2023-03-07,115.113.240.216,4755,New Delhi,37.231.136.98,0.21114850446970088,0.36720400000000003,cubic,2023-03-07 17:11:13.39879 UTC
2023-02-08,10.24.0.4,396982,Mumbai,83.96.25.130,198.1010591001897,0.046228,cubic,2023-02-08 06:58:06.409997 UTC
2023-02-16,213.149.127.37,8585,Podgorica,188.71.250.39,0.797670040922236,0.217722,cubic,2023-02-16 18:10:24.634105 UTC
2023-05-22,213.149.127.24,8585,Podgorica,37.231.253.151,0.015707072975659195,4.105237,cubic,2023-05-22 18:06:54.088488 UTC
2023-02-07,10.24.0.3,396982,Mumbai,94.129.60.193,41.311970565866872,0.217197,cubic,2023-02-07 15:42:23.450704 UTC
2023-02-15,10.24.0.4,396982,Mumbai,37.231.253.20,32.279386539801983,0.139899,cubic,2023-02-15 01:01:11.886408 UTC
