date,server_ip,server_ASNumber,mlab_server_City,client_ip,MeanThroughputMbps,MinRTT,cc,TestTime
2019-03-23,82.116.199.11,3268,Larnaca,94.76.0.210,5.0752865042691573,180,reno,2019-03-23 07:28:56.84795 UTC
2019-03-17,82.116.199.11,3268,Larnaca,62.209.9.243,8.34127853347944,195,reno,2019-03-17 06:21:43.139267 UTC
2019-03-17,82.116.199.11,3268,Larnaca,62.209.9.243,7.2764727823992388,201,reno,2019-03-17 17:29:58.444136 UTC
2019-04-04,82.116.199.11,3268,Larnaca,77.69.255.21,0.96351246817507419,173,reno,2019-04-04 04:13:32.200962 UTC
2019-04-04,82.116.199.11,3268,Larnaca,77.69.255.21,0.40559048078954629,171,reno,2019-04-04 00:05:41.602017 UTC
2019-04-04,82.116.199.11,3268,Larnaca,77.69.255.21,0.32414259703964643,173,reno,2019-04-04 04:14:31.76001 UTC
2019-04-04,82.116.199.11,3268,Larnaca,77.69.255.21,2.2896454183863226,171,reno,2019-04-04 06:19:07.650904 UTC
2019-04-04,82.116.199.11,3268,Larnaca,62.209.8.163,5.9767466864350443,198,reno,2019-04-04 02:29:23.22383 UTC
2019-04-04,82.116.199.11,3268,Larnaca,62.209.8.163,9.5725176753334367,194,reno,2019-04-04 07:02:57.140591 UTC
2019-04-04,82.116.199.11,3268,Larnaca,77.69.255.21,2.1521553342554847,175,reno,2019-04-04 10:20:13.843195 UTC
2019-04-04,82.116.199.11,3268,Larnaca,62.209.8.163,10.612747147445974,196,reno,2019-04-04 23:40:32.10673 UTC
2019-04-04,82.116.199.11,3268,Larnaca,62.209.8.163,1.918986897846753,198,reno,2019-04-04 03:00:09.907045 UTC
2019-04-04,82.116.199.11,3268,Larnaca,77.69.255.21,1.4136048841861431,173,reno,2019-04-04 11:20:33.266588 UTC
2019-04-04,82.116.199.11,3268,Larnaca,62.209.8.163,6.3322258112996881,199,reno,2019-04-04 19:52:31.963242 UTC
2019-04-04,82.116.199.11,3268,Larnaca,89.148.9.171,8.4619004150361423,178,reno,2019-04-04 22:34:05.94524 UTC
2019-04-24,14.143.58.139,4755,Mumbai,89.148.9.180,0.0070184434404123586,95,reno,2019-04-24 19:06:33.492198 UTC
