date,server_ip,server_ASNumber,mlab_server_City,client_ip,MeanThroughputMbps,MinRTT,cc,TestTime
2023-01-11,38.111.126.101,174,Toronto,96.9.151.85,0.35588945853268145,0.216984,cubic,2023-01-11 19:01:06.297809 UTC
2023-01-28,183.178.65.11,10103,Hong Kong,38.54.116.231,2.883584730874821,0.150805,cubic,2023-01-28 15:38:14.253943 UTC
2023-04-25,2404:a800:2000:217::88,9498,Mumbai,2001:1670:10:74fd:8a:66c6:a7ef:ed24,52.107953033880833,0.245449,cubic,2023-04-25 22:59:55.421599 UTC
2023-04-23,2404:a800:2000:217::75,9498,Mumbai,2001:1670:18:6788:99f0:d664:c5dc:ee62,3.0076757419943236,0.247405,cubic,2023-04-23 21:52:37.9043 UTC
2023-05-29,197.136.0.88,36914,Nairobi,62.61.177.69,14.411473356280734,0.27486099999999997,cubic,2023-05-29 00:45:47.196709 UTC
2023-02-09,213.244.128.139,3356,Amsterdam,37.40.237.235,0.82021666462950793,0.204202,cubic,2023-02-09 16:34:39.88413 UTC
2023-03-02,2403:0:100:66::139,4755,Mumbai,2001:1670:18:ec84:9099:3880:2831:a86d,2.1682473090931227,0.029781,cubic,2023-03-02 18:41:53.71683 UTC
2023-04-02,209.170.79.11,1299,Sofia,37.41.97.188,44.426926846685127,0.154786,cubic,2023-04-02 18:36:25.299727 UTC
2023-05-12,197.136.0.101,36914,Nairobi,37.41.63.53,1.1482392447214365,0.261959,cubic,2023-05-12 19:26:58.828456 UTC
2023-02-26,2404:a800:2000:217::75,9498,Mumbai,2001:1670:18:c281:4925:1065:467f:dcc4,7.48215455381018,0.257768,cubic,2023-02-26 23:07:53.856258 UTC
2023-04-21,209.170.79.37,1299,Sofia,37.40.237.189,28.586877201459608,0.17746199999999998,cubic,2023-04-21 20:38:14.259011 UTC
2023-01-20,183.178.65.24,10103,Hong Kong,38.54.116.82,13.740360147064065,0.23925,cubic,2023-01-20 20:59:47.741707 UTC
2023-04-20,2403:0:400:56::229,4755,New Delhi,2a02:2908:5102:aabd:7920:fdc5:643b:a901,265.75628413124792,0.074074,cubic,2023-04-20 17:12:55.359271 UTC
2023-05-15,2403:0:400:56::203,4755,New Delhi,188.66.208.132,0.021802753922533735,0.075,cubic,2023-05-15 15:09:10.417869 UTC
2023-05-15,2403:0:400:56::229,4755,New Delhi,188.66.208.132,0.063910137626978614,0.464024,cubic,2023-05-15 16:07:42.954869 UTC
2023-03-15,197.136.0.101,36914,Nairobi,37.40.237.248,4.758517507461991,0.290107,cubic,2023-03-15 15:36:41.277736 UTC
2023-05-25,2403:0:400:56::203,4755,New Delhi,2a02:2908:5100:546a:759c:ba12:4a5c:9878,6.9589445493507327,0.057755,cubic,2023-05-25 00:14:25.726331 UTC
2023-04-12,193.201.166.139,203348,Athens,5.162.129.149,17.30235033007105,0.158334,cubic,2023-04-12 16:48:55.690242 UTC
2023-03-03,2403:0:100:66::152,4755,Mumbai,2001:1670:18:5126:402c:a8dd:cb43:ab2d,108.23867815375273,0.038486,cubic,2023-03-03 09:18:09.344681 UTC
2023-03-31,197.136.0.88,36914,Nairobi,37.40.90.212,10.514537790684356,0.286509,cubic,2023-03-31 22:52:14.041635 UTC
