date,server_ip,server_ASNumber,mlab_server_City,client_ip,MeanThroughputMbps,MinRTT,cc,TestTime
2018-04-15,197.136.0.75,36914,Nairobi,5.37.182.224,0.13816448356571298,369,Unknown,2018-04-15 16:33:09.626357 UTC
2018-06-17,4.71.210.211,3356,Miami,62.61.167.186,0.33936942022853239,258,Unknown,2018-06-17 17:25:08.56579 UTC
2018-02-13,195.89.145.11,1273,Amsterdam,46.243.148.7,2.1442639536542765,121,Unknown,2018-02-13 21:34:57.118415 UTC
2018-05-22,197.136.0.75,36914,Nairobi,5.36.90.157,0.43854510329295848,273,Unknown,2018-05-22 10:28:44.956184 UTC
2018-04-29,197.136.0.75,36914,Nairobi,82.178.253.131,0.12604013259310878,278,Unknown,2018-04-29 16:49:53.640328 UTC
2018-04-02,188.120.127.11,13004,Belgrade,78.111.46.163,1.6758999691393541,188,Unknown,2018-04-02 09:12:39.524771 UTC
2018-06-01,197.136.0.75,36914,Nairobi,85.154.84.78,0.57223604085604951,356,Unknown,2018-06-01 12:01:40.817455 UTC
2018-06-01,4.71.251.173,3356,Chicago,85.154.84.78,0.51465988356298453,299,Unknown,2018-06-01 11:50:05.98866 UTC
2018-07-22,38.98.51.45,174,Los Angeles,85.154.75.60,0.12318033360299332,514,Unknown,2018-07-22 17:57:50.162542 UTC
2018-08-05,213.244.128.152,3356,Amsterdam,82.178.106.162,0.12427202807619228,270,Unknown,2018-08-05 12:44:59.500619 UTC
2018-05-22,197.136.0.75,36914,Nairobi,5.36.90.157,0.3986018199351169,280,Unknown,2018-05-22 20:52:05.636597 UTC
2018-04-15,72.26.217.88,29791,Amsterdam,5.21.248.117,1.6507276726483537,135,Unknown,2018-04-15 14:12:43.994556 UTC
2018-08-31,38.102.0.83,174,Seattle,94.185.57.144,0.55430060632972278,325,Unknown,2018-08-31 15:27:26.920383 UTC
2018-08-05,213.244.128.139,3356,Amsterdam,37.200.253.68,4.0717779375843373,143,Unknown,2018-08-05 16:37:07.806207 UTC
2018-05-22,197.136.0.75,36914,Nairobi,5.36.90.157,0.42900647759341964,301,Unknown,2018-05-22 00:09:38.578376 UTC
2018-06-30,197.136.0.75,36914,Nairobi,5.36.202.38,0.64613913694503422,283,Unknown,2018-06-30 18:59:23.261251 UTC
2018-04-15,213.244.128.139,3356,Amsterdam,5.21.248.117,1.8125625558069332,149,Unknown,2018-04-15 14:07:48.483046 UTC
2018-06-01,38.106.70.147,174,New York,85.154.84.78,0.50143377150864965,205,Unknown,2018-06-01 11:48:51.614724 UTC
2018-05-23,213.244.128.152,3356,Amsterdam,5.36.90.157,0.321973577975704,528,Unknown,2018-05-23 14:28:51.334879 UTC
2018-06-04,213.244.128.164,3356,Amsterdam,85.154.117.88,0.34206265950439119,1075,Unknown,2018-06-04 14:31:49.445259 UTC
2018-07-24,213.244.128.139,3356,Amsterdam,5.36.90.11,0.52479427948331947,247,Unknown,2018-07-24 03:40:12.24576 UTC
2018-11-29,197.136.0.101,36914,Nairobi,5.36.177.201,0.48784400284308316,275,Unknown,2018-11-29 08:18:52.405722 UTC
2018-07-22,196.24.45.152,2018,Johannesburg,161.123.68.221,0.034764239936909677,339,Unknown,2018-07-22 13:59:50.677533 UTC
2018-07-11,82.116.199.37,3268,Larnaca,5.162.209.131,2.49354954518982,343,Unknown,2018-07-11 17:19:54.68154 UTC
2018-01-07,38.106.70.147,174,New York,82.178.244.120,0.31015599232966523,4294967295,Unknown,2018-01-07 04:42:38.289112 UTC
2018-08-07,196.24.45.139,2018,Johannesburg,161.123.69.178,1.5781719489351567,319,Unknown,2018-08-07 12:35:59.57525 UTC
2018-01-31,70.42.244.75,12182,San Francisco,85.154.70.254,2.46332259427388,4294967295,Unknown,2018-01-31 14:29:05.197626 UTC
2018-07-25,213.244.128.139,3356,Amsterdam,5.21.252.165,1.4547349298004271,135,Unknown,2018-07-25 15:21:36.513294 UTC
2018-01-07,38.106.70.160,174,New York,82.178.244.120,0.49331368786827645,4294967295,Unknown,2018-01-07 04:55:00.441425 UTC
2018-03-08,213.244.128.139,3356,Amsterdam,5.21.251.180,0.82649479672536386,625,Unknown,2018-03-08 19:58:05.279067 UTC
2018-04-02,72.26.217.103,29791,Amsterdam,85.154.145.93,0.23190980174116127,277,Unknown,2018-04-02 09:10:23.912955 UTC
2018-04-02,213.244.128.139,3356,Amsterdam,85.154.145.93,0.22026511381375261,286,Unknown,2018-04-02 09:09:43.577084 UTC
2018-05-22,197.136.0.75,36914,Nairobi,5.36.90.157,0.66470886400879536,275,Unknown,2018-05-22 10:29:24.849888 UTC
2018-06-04,213.244.128.164,3356,Amsterdam,85.154.117.88,0.97078180282632609,159,Unknown,2018-06-04 14:32:44.939535 UTC
2018-06-04,197.136.0.75,36914,Nairobi,5.36.145.137,0.63577899368670809,462,Unknown,2018-06-04 15:49:27.490998 UTC
2018-06-04,197.136.0.75,36914,Nairobi,82.178.189.138,0.24478410850169147,493,Unknown,2018-06-04 17:28:20.415511 UTC
2018-05-09,197.136.0.75,36914,Nairobi,5.36.114.244,0.58453061124381955,310,Unknown,2018-05-09 18:58:39.52325 UTC
2018-08-07,196.24.45.139,2018,Johannesburg,161.123.99.181,1.5510866430303267,313,Unknown,2018-08-07 04:34:41.214946 UTC
2018-08-05,38.98.51.33,174,Los Angeles,82.178.106.162,0.3166450047656183,311,Unknown,2018-08-05 02:58:39.844648 UTC
2018-01-07,72.26.217.74,29791,Amsterdam,82.178.244.120,0.50327745838231164,4294967295,Unknown,2018-01-07 04:53:07.347898 UTC
2018-08-31,2403:0:100:66::152,4755,Mumbai,2001:1670:8:ecb9:ac53:5eed:72a6:d1ec,0.033374946090384439,508,Unknown,2018-08-31 19:28:41.95026 UTC
2018-07-24,197.136.0.75,36914,Nairobi,94.185.57.11,1.3286529234110593,284,Unknown,2018-07-24 13:12:10.495929 UTC
2018-07-22,213.244.128.139,3356,Amsterdam,85.154.75.60,0.22116095042829717,259,Unknown,2018-07-22 17:59:57.825168 UTC
2018-09-13,2403:0:100:66::152,4755,Mumbai,2001:1670:8:7c4c:c85c:fa5d:1345:cb99,0.63554897458960558,202,Unknown,2018-09-13 14:19:43.361144 UTC
2018-06-17,4.71.251.173,3356,Chicago,85.154.5.163,0.23712169813572889,894,Unknown,2018-06-17 08:34:56.721029 UTC
2018-10-08,213.244.128.139,3356,Amsterdam,5.36.25.157,0.69228244342398992,149,Unknown,2018-10-08 03:25:33.155311 UTC
2018-03-09,64.86.200.203,6453,Atlanta,5.36.242.235,0.53878077388893719,241,Unknown,2018-03-09 04:32:38.665524 UTC
2018-09-28,2404:a800:2000:217::88,9498,Mumbai,2002:2ef3:9408::2ef3:9408,1.7148944624290141,365,Unknown,2018-09-28 19:13:42.216668 UTC
2018-07-11,38.98.51.33,174,Los Angeles,82.178.194.143,0.05982775369757188,296,Unknown,2018-07-11 13:31:16.872229 UTC
2018-10-08,197.136.0.88,36914,Nairobi,46.40.231.191,3.8562961377982243,182,Unknown,2018-10-08 04:34:57.361977 UTC
2018-06-04,197.136.0.75,36914,Nairobi,5.36.145.137,0.44821940420279893,610,Unknown,2018-06-04 15:35:37.953322 UTC
2018-06-29,212.113.31.11,3356,London,5.36.255.57,3.0672116524971091,130,Unknown,2018-06-29 10:39:35.239709 UTC
2018-10-08,2404:a800:2000:217::75,9498,Mumbai,2001:1670:8:e1d1:549a:1a1b:4379:9dc6,0.43320811183654467,280,Unknown,2018-10-08 16:26:43.340572 UTC
2018-11-15,197.136.0.88,36914,Nairobi,5.21.253.212,1.5409007113199134,270,Unknown,2018-11-15 09:10:03.517328 UTC
2018-04-14,38.102.0.83,174,Seattle,96.9.128.124,0.8207399366225635,289,Unknown,2018-04-14 07:16:59.68523 UTC
2018-12-08,4.71.210.211,3356,Miami,5.36.39.156,0.046088145703701233,271,Unknown,2018-12-08 12:43:05.285597 UTC
2018-08-18,196.24.45.139,2018,Johannesburg,161.123.106.209,1.3753526175102539,309,Unknown,2018-08-18 07:24:53.817939 UTC
2018-08-19,196.24.45.139,2018,Johannesburg,161.123.96.103,1.0478310669564703,375,Unknown,2018-08-19 11:10:51.617324 UTC
2018-10-08,2403:0:100:66::152,4755,Mumbai,2001:1670:8:e68a:4db0:7f23:6707:47d1,0.60318668625044114,198,Unknown,2018-10-08 14:34:45.205635 UTC
