date,server_ip,server_ASNumber,mlab_server_City,client_ip,MeanThroughputMbps,MinRTT,cc,TestTime
2019-03-06,82.116.199.11,3268,Larnaca,89.211.199.182,8.1836481212742811,271.0,Unknown,2019-03-06 10:24:12.596819 UTC
2019-03-06,82.116.199.11,3268,Larnaca,176.203.78.117,9.4490878442143362,333.0,Unknown,2019-03-06 16:34:44.543540 UTC
2019-03-06,82.116.199.11,3268,Larnaca,37.211.38.8,0.328818740400349,699.0,Unknown,2019-03-06 19:02:05.890324 UTC
2019-03-06,82.116.199.11,3268,Larnaca,178.153.24.210,11.247442235564442,198.0,Unknown,2019-03-06 18:00:21.615551 UTC
2019-03-06,82.116.199.11,3268,Larnaca,78.100.172.11,5.9339458289780129,197.0,Unknown,2019-03-06 18:02:34.583555 UTC
2019-03-06,82.116.199.11,3268,Larnaca,37.210.71.135,11.900895401603078,198.0,Unknown,2019-03-06 11:43:40.461323 UTC
2019-03-06,82.116.199.37,3268,Larnaca,37.210.71.198,4.8526836218450988,201.0,Unknown,2019-03-06 19:52:17.688187 UTC
2019-03-06,82.116.199.11,3268,Larnaca,78.100.172.11,0.16541962299616975,207.0,Unknown,2019-03-06 18:03:21.797033 UTC
2019-03-06,82.116.199.11,3268,Larnaca,37.210.141.4,11.595452443664543,200.0,Unknown,2019-03-06 23:17:15.201068 UTC
2019-03-06,82.116.199.11,3268,Larnaca,37.186.32.105,2.4179726275572588,166.0,Unknown,2019-03-06 16:19:27.438997 UTC
2019-03-05,82.116.199.11,3268,Larnaca,178.153.61.38,0.068321457272831163,201.0,Unknown,2019-03-05 06:57:18.372811 UTC
2019-03-05,82.116.199.11,3268,Larnaca,176.203.201.31,3.2543646991195252,290.0,Unknown,2019-03-05 10:41:23.543255 UTC
2019-03-05,82.116.199.11,3268,Larnaca,89.211.180.198,10.35067782304152,187.0,Unknown,2019-03-05 07:49:39.870090 UTC
2019-03-05,82.116.199.11,3268,Larnaca,78.100.210.226,9.4714985922205557,209.0,Unknown,2019-03-05 10:29:05.291904 UTC
2019-03-05,82.116.199.11,3268,Larnaca,78.100.199.31,9.1007471359284349,304.0,Unknown,2019-03-05 16:04:24.169779 UTC
2019-03-05,82.116.199.11,3268,Larnaca,178.152.68.193,11.512417906386959,187.0,Unknown,2019-03-05 15:58:11.814225 UTC
2019-03-05,82.116.199.11,3268,Larnaca,78.100.199.31,9.3501811304782869,268.0,Unknown,2019-03-05 16:02:54.506094 UTC
2019-03-05,82.116.199.11,3268,Larnaca,178.153.29.86,9.55609888600761,280.0,Unknown,2019-03-05 07:31:34.611568 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.210.141.4,11.865558061202826,200.0,Unknown,2019-03-05 17:10:52.424114 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.211.12.58,9.8112747774691051,194.0,Unknown,2019-03-05 16:22:15.968968 UTC
2019-03-05,82.116.199.37,3268,Larnaca,37.210.189.98,3.2770345615512064,187.0,Unknown,2019-03-05 20:52:39.563600 UTC
2019-03-05,82.116.199.11,3268,Larnaca,178.152.90.226,8.4068532506708671,188.0,Unknown,2019-03-05 20:07:29.316858 UTC
2019-03-05,14.143.58.165,4755,Mumbai,37.211.67.52,5.5185882790311576,131.0,Unknown,2019-03-05 21:57:49.159741 UTC
2019-03-05,82.116.199.11,3268,Larnaca,78.100.180.69,4.7025879285167562,484.0,Unknown,2019-03-05 17:23:14.219690 UTC
2019-03-05,82.116.199.11,3268,Larnaca,89.211.210.126,11.601020190461414,199.0,Unknown,2019-03-05 23:25:58.639167 UTC
2019-03-05,82.116.199.11,3268,Larnaca,78.101.183.197,11.415964714410979,184.0,Unknown,2019-03-05 00:08:35.956180 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.210.144.111,10.572465630531241,184.0,Unknown,2019-03-05 20:40:25.697473 UTC
2019-03-05,82.116.199.37,3268,Larnaca,37.210.247.247,0.32891720149610248,192.0,Unknown,2019-03-05 20:50:53.600620 UTC
2019-03-05,82.116.199.11,3268,Larnaca,78.100.180.69,8.3550458547399682,193.0,Unknown,2019-03-05 18:08:37.855785 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.210.71.135,11.916671300887726,184.0,Unknown,2019-03-05 11:24:11.924887 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.211.67.52,3.6272245014859639,185.0,Unknown,2019-03-05 21:58:31.608718 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.211.186.92,0.025653322694749511,202.0,Unknown,2019-03-05 20:23:53.658013 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.211.186.92,9.3057745180677784,332.0,Unknown,2019-03-05 20:22:43.935070 UTC
2019-03-05,82.116.199.11,3268,Larnaca,176.202.82.104,2.54315550823117,255.0,Unknown,2019-03-05 17:26:16.210517 UTC
2019-03-05,82.116.199.11,3268,Larnaca,176.203.78.47,1.1499753109539519,290.0,Unknown,2019-03-05 15:12:39.825475 UTC
2019-03-05,82.116.199.11,3268,Larnaca,89.211.192.115,11.665531315488499,197.0,Unknown,2019-03-05 05:47:33.607629 UTC
2019-03-05,82.116.199.11,3268,Larnaca,178.153.65.36,11.604761623858575,189.0,Unknown,2019-03-05 01:22:01.786640 UTC
2019-03-05,82.116.199.11,3268,Larnaca,178.153.24.210,11.335319538433431,192.0,Unknown,2019-03-05 08:19:35.594186 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.211.38.8,11.410167026668663,191.0,Unknown,2019-03-05 23:36:25.610820 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.211.29.93,0.080187603259883625,353.0,Unknown,2019-03-05 18:43:01.436795 UTC
2019-03-06,82.116.199.11,3268,Larnaca,31.11.53.92,0.61777649946170954,205.0,Unknown,2019-03-06 14:57:41.473231 UTC
2019-03-06,82.116.199.11,3268,Larnaca,37.210.118.55,3.479139055787527,198.0,Unknown,2019-03-06 08:40:04.308670 UTC
2019-03-06,82.116.199.11,3268,Larnaca,78.101.183.197,11.54180598776302,194.0,Unknown,2019-03-06 21:00:26.938113 UTC
2019-03-06,82.116.199.11,3268,Larnaca,78.101.183.197,11.438737857402204,183.0,Unknown,2019-03-06 00:12:32.275851 UTC
2019-03-06,82.116.199.11,3268,Larnaca,89.211.237.66,11.285695786018017,184.0,Unknown,2019-03-06 18:51:11.539321 UTC
2019-03-06,82.116.199.11,3268,Larnaca,37.210.69.10,7.635200964236569,199.0,Unknown,2019-03-06 09:30:52.393751 UTC
2019-03-06,82.116.199.11,3268,Larnaca,37.210.71.135,6.4472068273411409,240.0,Unknown,2019-03-06 03:59:38.679026 UTC
2019-03-06,82.116.199.11,3268,Larnaca,37.210.69.10,11.934252470016705,191.0,Unknown,2019-03-06 19:39:15.586170 UTC
2019-03-06,82.116.199.11,3268,Larnaca,37.210.71.198,4.2446031611130079,208.0,Unknown,2019-03-06 19:47:14.662250 UTC
