date,server_ip,server_ASNumber,mlab_server_City,client_ip,MeanThroughputMbps,MinRTT,cc,TestTime
2019-03-10,82.116.199.11,3268,Larnaca,37.34.186.99,4.0064712230991466,199,Unknown,2019-03-10 19:39:14.873922 UTC
2019-03-10,82.116.199.11,3268,Larnaca,37.37.6.230,9.5378780194182244,181,Unknown,2019-03-10 04:04:21.712309 UTC
2019-03-10,82.116.199.11,3268,Larnaca,149.147.129.122,10.640490757708147,188,Unknown,2019-03-10 02:10:40.216032 UTC
2019-03-10,82.116.199.11,3268,Larnaca,149.147.129.122,11.008590015960859,175,Unknown,2019-03-10 14:36:28.979932 UTC
2019-03-10,82.116.199.11,3268,Larnaca,94.128.66.55,2.9783696849542185,198,Unknown,2019-03-10 08:51:53.627722 UTC
2019-03-05,82.116.199.11,3268,Larnaca,80.184.229.15,11.481794194209778,215,Unknown,2019-03-05 05:14:38.65005 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.36.198.245,8.882329594544645,168,Unknown,2019-03-05 08:37:36.676532 UTC
2019-03-05,82.116.199.11,3268,Larnaca,149.147.129.122,11.774445770931937,189,Unknown,2019-03-05 02:47:50.723478 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.39.153.147,0.99175492714223279,185,Unknown,2019-03-05 19:42:32.553922 UTC
2019-03-05,82.116.199.11,3268,Larnaca,80.184.109.15,0.1316368154348096,192,Unknown,2019-03-05 22:09:36.489872 UTC
2019-03-05,82.116.199.11,3268,Larnaca,178.61.153.8,11.486952720655234,163,Unknown,2019-03-05 13:19:20.877505 UTC
2019-03-05,193.201.166.139,203348,Athens,94.129.80.205,3.0718648160756374,168,Unknown,2019-03-05 21:53:34.415547 UTC
2019-03-05,82.116.199.11,3268,Larnaca,62.150.144.7,11.820575463143406,168,Unknown,2019-03-05 03:17:32.610106 UTC
2019-03-05,82.116.199.11,3268,Larnaca,62.150.144.7,12.429423543236974,143,Unknown,2019-03-05 07:07:53.990368 UTC
2019-03-05,82.116.199.11,3268,Larnaca,80.184.229.15,11.369835601848486,190,Unknown,2019-03-05 17:40:02.837137 UTC
2019-03-05,82.116.199.11,3268,Larnaca,188.71.230.37,0.99980919856735373,590,Unknown,2019-03-05 06:31:56.346252 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.39.153.147,3.0787843135057247,183,Unknown,2019-03-05 19:43:03.40259 UTC
2019-03-05,82.116.199.11,3268,Larnaca,94.129.167.161,7.3191670430428069,171,Unknown,2019-03-05 11:53:34.900412 UTC
2019-03-05,82.116.199.11,3268,Larnaca,37.34.186.99,9.93411490646964,170,Unknown,2019-03-05 08:40:59.37464 UTC
2019-03-05,82.116.199.11,3268,Larnaca,80.184.104.182,0.079658406556926312,214,Unknown,2019-03-05 00:08:19.297429 UTC
