date,server_ip,server_ASNumber,mlab_server_City,client_ip,MeanThroughputMbps,MinRTT,cc,TestTime
2023-05-13,80.239.170.203,1299,London,138.199.92.170,34.64272752230481,-1,Unknown,2023-05-13 16:00:03.92771 UTC
2023-01-30,197.136.0.88,36914,Nairobi,37.41.168.29,0.020887503302855766,-1,Unknown,2023-01-30 15:50:14.457661 UTC
2023-05-18,2404:a800:2000:217::88,9498,Mumbai,2a09:bac1:5820::20a:45,6.3960545962463629,-1,Unknown,2023-05-18 11:50:29.537242 UTC
2023-02-11,2403:0:100:66::152,4755,Mumbai,2001:1670:10:7340:4095:57a1:3907:a7a5,46.498045821641853,-1,Unknown,2023-02-11 12:07:59.444337 UTC
2023-02-20,2404:a800:2000:217::101,9498,Mumbai,2001:1670:18:e5b9:d522:78a8:17cb:a1d1,12.435411873198023,-1,Unknown,2023-02-20 20:26:22.027104 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,14.714556170945926,-1,Unknown,2023-05-13 15:24:26.246726 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,19.250826037681012,-1,Unknown,2023-05-13 15:27:34.887443 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,8.9599188455350554,-1,Unknown,2023-05-13 15:26:54.329102 UTC
2023-05-06,2403:0:100:66::139,4755,Mumbai,2a02:2908:4103:ba16:f516:c9b3:f406:ad56,20.202124812568762,-1,Unknown,2023-05-06 08:36:03.032967 UTC
2023-05-09,2403:0:100:66::152,4755,Mumbai,2001:1670:18:a9fc:a53b:e6e3:2416:84cb,36.32077701673888,-1,Unknown,2023-05-09 11:53:12.498708 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,21.998626853125153,-1,Unknown,2023-05-13 16:00:50.505999 UTC
2023-04-10,197.136.0.75,36914,Nairobi,37.40.227.115,0.65982296548958919,-1,Unknown,2023-04-10 19:47:41.641289 UTC
2023-01-09,80.239.142.216,1299,Hamburg,85.154.30.203,2.1684350601940143,-1,Unknown,2023-01-09 04:49:46.62276 UTC
2023-05-27,80.239.170.203,1299,London,138.199.92.170,26.649289901844934,-1,Unknown,2023-05-27 12:04:22.562073 UTC
2023-05-27,80.239.170.203,1299,London,138.199.92.170,17.559819727560562,-1,Unknown,2023-05-27 12:05:10.623387 UTC
2023-02-10,2403:0:100:66::139,4755,Mumbai,2a02:2908:4101:dfb9:5960:f430:68c1:af27,14.312511186748303,-1,Unknown,2023-02-10 20:24:57.336613 UTC
2023-02-16,197.136.0.101,36914,Nairobi,188.66.141.140,6.0611439503044391,-1,Unknown,2023-02-16 06:13:11.056398 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,20.582680113527832,-1,Unknown,2023-05-13 15:15:42.153302 UTC
2023-02-16,213.149.127.37,8585,Podgorica,37.40.90.65,0.301070958561951,-1,Unknown,2023-02-16 14:29:31.217361 UTC
2023-04-05,2403:0:100:66::139,4755,Mumbai,2a02:2908:4103:cd75:7483:32b0:5546:db64,25.33979103463928,-1,Unknown,2023-04-05 20:57:07.783465 UTC
2023-04-19,2403:0:100:66::139,4755,Mumbai,2001:1670:18:29dc:c06e:1856:a9b:eb0f,16.224442428253905,-1,Unknown,2023-04-19 17:02:01.874068 UTC
2023-05-02,2403:0:400:56::229,4755,New Delhi,2a02:2908:4103:ba16:d6:4e67:9d98:2e7f,17.745846659502156,-1,Unknown,2023-05-02 04:11:42.110637 UTC
2023-02-22,209.170.119.165,1299,Dallas,37.41.228.99,7.5443864994339336,-1,Unknown,2023-02-22 10:37:04.993389 UTC
2023-04-27,2404:a800:2000:217::101,9498,Mumbai,2a02:2909:9800:e7b:f999:d349:d487:eca,8.5635356228671373,-1,Unknown,2023-04-27 11:06:28.627315 UTC
2023-05-18,2403:0:400:56::229,4755,New Delhi,2001:1670:10:7bd3:1449:f2f0:b7e1:c1ab,32.859665869373494,-1,Unknown,2023-05-18 19:04:29.811557 UTC
2023-03-13,197.136.0.88,36914,Nairobi,37.40.224.253,0.91661613149925891,-1,Unknown,2023-03-13 09:15:25.222806 UTC
2023-05-22,2404:a800:2000:217::101,9498,Mumbai,2001:1670:18:eb68:a00a:75fa:c95:c10f,0.20070631997450988,-1,Unknown,2023-05-22 13:40:54.400032 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,20.562095995579337,-1,Unknown,2023-05-13 15:15:42.14452 UTC
2023-05-20,2403:0:100:66::139,4755,Mumbai,2a02:2908:5100:163c:c810:4b8c:6877:f2f3,16.307816272067637,-1,Unknown,2023-05-20 12:03:56.405719 UTC
2023-03-01,2404:a800:2000:217::75,9498,Mumbai,2001:1670:18:a90c:8547:a436:81ae:57e9,0.56944479539348158,-1,Unknown,2023-03-01 16:31:07.263651 UTC
2023-05-06,2403:0:100:66::139,4755,Mumbai,2a02:2908:4103:ba16:54f9:ee98:7a89:9a9,20.861707846468676,-1,Unknown,2023-05-06 08:48:11.708187 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,48.863088827710577,-1,Unknown,2023-05-13 15:26:54.843693 UTC
2023-05-26,2403:0:100:66::139,4755,Mumbai,2a09:bac5:4efe:1478::20a:1e,4.3467205866532366,-1,Unknown,2023-05-26 07:15:33.550842 UTC
2023-01-27,193.1.12.229,1213,Dublin,37.41.5.252,81.11711843961028,-1,Unknown,2023-01-27 18:20:05.668383 UTC
2023-04-02,209.170.79.11,1299,Sofia,37.41.97.188,1.8630186317458226,-1,Unknown,2023-04-02 18:36:37.35681 UTC
2023-05-11,2404:a800:2000:217::75,9498,Mumbai,2a02:2908:4103:ba16:c0ae:5467:c8eb:633f,0.56661696510508119,-1,Unknown,2023-05-11 19:56:26.992174 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,25.176010934387378,-1,Unknown,2023-05-13 15:25:12.257832 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,27.827195492926677,-1,Unknown,2023-05-13 16:00:03.930056 UTC
2023-05-09,197.136.0.88,36914,Nairobi,145.255.104.38,4.1093283857852594,-1,Unknown,2023-05-09 06:07:43.970688 UTC
2023-05-27,80.239.170.203,1299,London,138.199.92.170,26.667571131625021,-1,Unknown,2023-05-27 12:05:10.581979 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,26.60296629465984,-1,Unknown,2023-05-13 15:25:12.262614 UTC
2023-05-28,2404:a800:2000:217::88,9498,Mumbai,2001:1670:10:7015:1580:37d9:5d24:2d74,19.459950143746312,-1,Unknown,2023-05-28 09:27:01.981551 UTC
2023-05-20,80.239.169.11,1299,Amsterdam,38.51.167.231,36.067019594848645,-1,Unknown,2023-05-20 10:33:57.284836 UTC
2023-05-01,193.201.166.139,203348,Athens,37.40.228.78,13.463845212675146,-1,Unknown,2023-05-01 14:50:54.054737 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,29.534248659992937,-1,Unknown,2023-05-13 15:26:08.301124 UTC
2023-04-18,2403:0:100:66::139,4755,Mumbai,2a02:2909:9800:206a:f400:9f18:8090:79c4,10.010219384404682,-1,Unknown,2023-04-18 13:53:14.422068 UTC
2023-05-24,2404:a800:2000:217::88,9498,Mumbai,2001:1670:10:7bd3:d12:a47:29a7:c9e1,29.145542551401885,-1,Unknown,2023-05-24 17:25:07.696521 UTC
2023-04-05,193.201.166.152,203348,Athens,37.40.237.103,2.1475348462092594,-1,Unknown,2023-04-05 20:42:32.092655 UTC
2023-05-03,209.170.119.165,1299,Dallas,5.32.250.18,12.674359135957113,-1,Unknown,2023-05-03 11:36:16.994769 UTC
2023-03-03,2403:0:100:66::152,4755,Mumbai,2001:1670:18:5126:402c:a8dd:cb43:ab2d,47.236739244735261,-1,Unknown,2023-03-03 09:17:59.757128 UTC
2023-01-12,80.239.142.216,1299,Hamburg,85.154.30.203,2.4695018688146666,-1,Unknown,2023-01-12 22:15:16.584485 UTC
2023-05-27,80.239.170.203,1299,London,138.199.92.170,27.102395553907876,-1,Unknown,2023-05-27 11:15:04.849471 UTC
2023-05-15,2403:0:100:66::139,4755,Mumbai,2a02:2908:4103:79b:95a3:b0f0:e1bc:ef5f,0.31491740957235176,-1,Unknown,2023-05-15 15:06:42.990261 UTC
2023-05-28,2403:0:100:66::139,4755,Mumbai,2a02:2908:4103:ba16:a558:547b:ece8:7d9f,2.741378002031003,-1,Unknown,2023-05-28 12:17:00.17286 UTC
2023-02-22,2404:a800:2000:217::101,9498,Mumbai,2001:1670:10:3e21:20d3:b082:1eca:4a2a,0.65048207559440618,-1,Unknown,2023-02-22 08:33:09.631401 UTC
2023-02-17,2403:0:100:66::152,4755,Mumbai,2a02:2908:5101:8d23:b9fa:40bf:c56:b2af,24.032485364039463,-1,Unknown,2023-02-17 16:43:56.55866 UTC
2023-05-27,80.239.170.203,1299,London,138.199.92.170,28.47652748208144,-1,Unknown,2023-05-27 12:04:22.578286 UTC
2023-01-30,193.201.166.139,203348,Athens,38.54.116.82,2.26339698921375,-1,Unknown,2023-01-30 20:45:59.568404 UTC
2023-05-15,2403:0:400:56::229,4755,New Delhi,2a02:2908:4103:79b:95a3:b0f0:e1bc:ef5f,1.3798281152644776,-1,Unknown,2023-05-15 16:07:10.986852 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,18.899871877377414,-1,Unknown,2023-05-13 15:27:34.849182 UTC
2023-02-10,180.87.97.101,6453,Singapore,37.40.237.235,0.15693860564624043,-1,Unknown,2023-02-10 17:07:27.723908 UTC
2023-01-09,80.239.142.216,1299,Hamburg,85.154.30.203,0.41844291803140421,-1,Unknown,2023-01-09 03:47:21.262389 UTC
2023-05-27,80.239.170.203,1299,London,138.199.92.170,18.853294080879685,-1,Unknown,2023-05-27 11:14:18.773269 UTC
2023-05-14,2403:0:100:66::152,4755,Mumbai,2001:1670:10:7bd3:9875:cbb6:1a14:cc1a,35.60512320797482,-1,Unknown,2023-05-14 20:37:38.916004 UTC
2023-04-17,162.213.97.11,6762,Paris,194.233.109.172,36.197336300034493,-1,Unknown,2023-04-17 22:07:01.908613 UTC
2023-04-06,197.136.0.75,36914,Nairobi,46.40.192.108,20.733468683895307,-1,Unknown,2023-04-06 23:05:01.64758 UTC
2023-02-27,2403:0:100:66::139,4755,Mumbai,2a02:2908:5101:9f08:5d9c:adb8:f326:ab36,3.5098013553659859,-1,Unknown,2023-02-27 22:49:33.141402 UTC
2023-03-01,209.170.79.24,1299,Sofia,37.40.238.41,0.37156191387326931,-1,Unknown,2023-03-01 21:20:31.05052 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,20.29147849378267,-1,Unknown,2023-05-13 15:28:20.943659 UTC
2023-05-27,80.239.170.203,1299,London,138.199.92.170,17.763792493730161,-1,Unknown,2023-05-27 11:14:18.76843 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,29.912510343359024,-1,Unknown,2023-05-13 15:28:20.937321 UTC
2023-03-08,2403:0:100:66::152,4755,Mumbai,2a09:bac5:4efd:1478::20a:10,18.88018891863425,-1,Unknown,2023-03-08 07:18:11.119817 UTC
2023-05-13,80.239.170.203,1299,London,138.199.92.170,23.967365357862466,-1,Unknown,2023-05-13 16:00:50.503322 UTC
2023-01-11,197.136.0.75,36914,Nairobi,84.242.45.85,0.1652170805348693,-1,Unknown,2023-01-11 20:53:05.956458 UTC
2023-05-25,2403:0:400:56::203,4755,New Delhi,2a02:2908:5100:546a:759c:ba12:4a5c:9878,15.865934463183569,-1,Unknown,2023-05-25 00:14:14.398625 UTC
